tissueType	cellName	geneSymbolmore1	geneSymbolmore2	shortName
Immune system	Podocytes	"NPHS1,NPHS2,EZR,TDRD5,SEMA3G,SEMA5A,SEMA3E,PLA2R1,COL4A4,ARHGAP24,WT1,COL4A3,RHPN1,MAFB,PODXL,CLIC5,CD2AP,NOTCH2"		Podocytes
Immune system	Principal cells (Collecting duct system)	"KCNE1,APELA,AQP2,AQP3,GATA3,ELF5,STC1,TBX3,CLDN4,KCNJ1,AVPR2,FXYD4,HSD11B2,SCNN1G"		Principal
Immune system	Inner Medullary cells (Collecting duct system)	"S100A4,PLEKHB1,ALDH1A3,TM6SF1,SLC14A2"		IM
Immune system	Proximal tubule cells	"FXYD2,ATP1B1,SLC3A1,CUBN,PDZK1,LRP2,POU3F3,AGXT2,GSTA2,CYP2E1,CRYL1,GLYAT,SORD,UPB1,SOD3,HNF4A,CDKN3,NAPSA,SLC7A13,SLC17A3,HGD"		PT
Immune system	Cap mesenchyme cells (Mesenchymal cells)	"SIX2,ITGA8,NR2F2,EYA1,MEIS2,CITED1,MUC1,NOTCH2"		Cap mesenchyme
Immune system	Endothelial cells	"TGFBR2,NOTCH4,ADGRL4,EMCN,ENG,PECAM1,PLAC8,PLVAP,TEK,KDR,VWF,MMRN1,CD93"		Endothelial
Immune system	Stromal cells	"MEIS1,TCF21,COL1A2,COL3A1,TNC,COL6A3,LGALS1"		Stromal
Immune system	Juxtaglomerular cells	"REN,CRIP1"		Juxtaglomerular
Immune system	Renal interstitium (Mesenchymal cells)	"SFRP1,MEIS1,PDGFRA,C7,MGP"		Renal interstitium
Immune system	Connecting tubule cells	"CALB1,TRPV5,FXYD2,ATP6V1B1,SLC8A1"		Connecting tubule
Immune system	Distal tubule cells	"KLK1,KCNJ1,KL,EGF,TMEM213,TMEM52B,SOSTDC1,SLC12A3,EMX1,CLDN3,CLDN8,UMOD,PCOLCE,CDC42EP3,CLCNKB,FXYD2,POU3F3"		Distal tubule
Immune system	Hematopoietic cells	"CORO1A,MNDA,SRGN,HLA-DPA1,LST1"		HCs
Immune system	Ureteric Bud cells	"GFRA1,RET,WNT9B,CLDN6,LAMA1,NMU,Wnt11 ,Etv4, WNT7B"		UB
Immune system	Renal Vesicle cells	"NCAM1,EMX2,LHX1,BMP2,DKK1,DLL1,GREB1,PAPSS2,PCSK9,POU3F3,TMEM100,WT1"		RV
Immune system	Cancer stem cells	EPCAM		CSCs
Immune system	Cancer cells	"CD44,EPCAM,ERBB2,FOLH1,KRT18,PROM1"		Cancer
Immune system	Cancer stem cells	EPCAM		CSCs
Immune system	Plasma cells	"IGHG1,MZB1,SDC1,CD79A"		
Immune system	Activated B cell	"ADAM28,CD180,CD79B,BLK,CD19,MS4A1,TNFRSF17,IGHM,GNG7,MICAL3,SPIB,HLA-DOB,IGKC,PNOC,FCRL2,BACH2,CR2,TCL1A,AKNA,ARHGAP25,CCL21,CD27,CD38,CLEC17A,CLEC9A,CLECL1"		
Immune system	Central memory CD4 T cell	"ABHD3,AHNAK,ANXA2P2,AQP3,ATHL1,BMI1,BZW2,CD63,COL4A1,CYLD,ELMO2,FYN,GLIPR1,GSS,IFITM2,ITGB1,ITGB2,KLF5,LSP1,NDUFB9,PKM2,SFXN3,SIRPG,SMAD4,STX4,TRADD,VIM,XRCC6"		
Immune system	Central memory CD8 T cell	"ACTN4,ADAM12,ADCY9,F13A1,FCER1G,FCGR3B,FGF7,FKBP4,GLUD1,GM2A,GUSB,IL1RN,NOL11,NTRK1,RARA,RNF128,SIGLEC1,TNFRSF11A,TOX4,UBA52,ULBP1"		
Immune system	Effector memeory CD8 T cell	"ATM,CASP3,CASQ1,CD300E,DARS,DOCK9,EXOSC9,EZH2,GDE1,IL34,NCOA4,NEFL,PDGFRL,PTGS1,REPS1,SCG2,SDPR,SIGLEC14,SIGLEC6,TAL1,TFEC,TIPIN,TPK1,UQCRB,USP9Y,WIPF1,ZCRB1"		
